Barrasso,Barrasso,Tom,,,,,,
Barrett C.,Barrett C.,,,,,,,
Barrett M.,Barrett M.,,,,,,,
Barrie L.,Barrie L.,,,,,,,
Barrie Tyson,Barrie,Tyson,,,,,,
Barrow John,Barrow,John,,,,,,
Barry Rick,Barry,Rick,,,1,,,MiamiFL
Barton G.,Barton G.,,,,,,,
Barwell,Barwell,,,,,,,
Basalgin,Basalgin,,,,,,,
Baseggio D.,Baseggio D.,,,,,,,
Battle Arnaz,Battle,Arnaz,,,,,,NotreDame
Battle Greg,Battle,Greg,,,,,,
Batton,Batton,,,,,,,
Baugh,Baugh,Sammy,,,1,,,TCU
Baumgartner,Baumgartner,,,,,,,
Baumholtz,Baumholtz,,,,,,,
Bavaro Mark,Bavaro,Mark,,,,,1,NotreDame
BaylorElgin,Baylor,Elgin,,,1,,,Seattle
Beagle Jay,Beagle,Jay,,,,,,
Beason,Beason,,,,,,,
Beaty Z.,Beaty,Zelmo,,,1,,,
Beaudoin,Beaudoin,,,,,,,
Beaudoin E.,Beaudoin E.,,,,,,,
Beaumont Neal,Beaumont,Neal,,,,,,
Beaupre,Beaupre,,,,,,,
Beckwith,Beckwith,,,,,,,
Becton,Becton,,,,,,,
Beebe,Beebe,Don,,,,,,
Beech K.,Beech K.,,,,,,,
Beinor,Beinor,,,,,,,
Belfour Ed,Belfour,Ed,,,1,,,
Belhumeur,Belhumeur,,,,,,,
Bell Greg,Bell,Greg,,,,,,
Bell Jorge,Bell,Jorge,,,,,,
Bell Kerwin,Bell,Kerwin,,,,,,
Bell M.,Bell M.,,,,,,,
Bell Mark,Bell,Mark,,,,,,
Bell Rickey,Bell,Rickey,,,,,,USC
Bell Thatcher,Bell,Thatcher,,,,,,
Bellamy Walt,Bellamy,Walter,,,1,,,
Belles,Belles,,,,,,,
Bellows,Bellows,,,,,,,
BenchJohnny,Bench,Johnny,,,1,,,
Bender,Bender,,,,,,,
Bennett C.,Bennett,Cornelius,,,,,,Alabama
Bennett Elmer,Bennett,Elmer,,,,,,
Bennett M.,Bennett M.,,,,,,,
Bennett Paul,Bennett,Paul,,,,,,
Bentley D.,Bentley D.,,,,,,,
Benzinger,Benzinger,,,,,,,
Bercich,Bercich,,,,,,,
Bergkvist S.,Bergkvist S.,,,,,,,
Bergmann P.,Bergmann P.,,,,,,,
BerraYogi,Berra,Yogi,,,1,,,
Berry Bert,Berry,Bert,,,,,,
Bertelli,Bertelli,Angelo,,,,1,,NotreDame
Besena,Besena,,,,,,,
Bets,Bets,,,,,,,
BettisJerome,Bettis,Jerome,,,1,,,NotreDame
BeuerleinSteve,Beuerlein,Steve,,,,,1,NotreDame
Bevacqua,Bevacqua,,,,,,,
Biakabutuka,Biakabutuka,Tim,,,,,,
Bianchi,Bianchi,,,,,,,
BichetteDante,Bichette,Dante,,,,,,
Bighill Adam,Bighill,Adam,,,,,,
BiletnikoffFred,Biletnikoff,Fred,,,1,,,FloridaState
Billingham,Billingham,,,,,,,
Bilodeau B.,Bilodeau B.,,,,,,,
BingDave,Bing,Dave,,,1,,,Syracuse
BirdLarry,Bird,Larry,,,1,,,IndianaState
Biron Mathieu,Biron,Mathieu,,,,,,
Bishop Michael,Bishop,Michael,,,,,,
Bitkowski,Bitkowski,,,,,,,
Blackburn J.,Blackburn J.,,,,,,,
BlackmanRolondo,Blackman,Rolondo,,,,,1,
Blades Brian,Blades,Brian,,,,,,MiamiFL
Blaha M.,Blaha M.,,,,,,,
Blake Rob,Blake,Rob,,,1,,,
BlandaGeorge,Blanda,George,,,1,,,Kentucky
Blanton Robert,Blanton,Robert,,,,,,
Bledsoe C.,Bledsoe C.,,,,,,,
BledsoeDrew,Bledsoe,Drew,,,,,1,Washington
BleierRocky,Bleier,Rocky,,,,,1,NotreDame
BlueVida,Blue,Vida,,,,,,
Bochte,Bochte,,,,,,,
Boeringer,Boeringer,,,,,,,
BoggsWade,Boggs,Wade,,,1,,,
Boguniecki,Boguniecki,Eric,,,,,,
Bohamon,Bohamon,,,,,,,
Boiman Rocky,Boiman,Rocky,,,,,,
Bojovic,Bojovic,,,,,,,
Bolcar,Bolcar,,,,,,,
Boleski,Boleski,,,,,,,
Bombardir,Bombardir,,,,,,,
Bondra Peter,Bondra,Peter,,,,,,
BondsBarry,Bonds,Barry,,,,,1,
BondsBobby,Bonds,Bobby,,,,,,
BonillaBobby,Bonilla,Bobby,,,,,,
Bonk,Bonk,,,,,,,
Boone David,Boone,David,,,,,,
Boone G.,Boone G.,,,,,,,
Boozer,Boozer,,,,,,,
Borschevsky,Borschevsky,,,,,,,
Boryla,Boryla,,,,,,,
Bosseler,Bosseler,,,,,,,
Bossy,Bossy,Mike,,,1,,,
BosticJeff,Bostic,Jeff,,,,,,Clemson
Bottomley,Bottomley,Jim,,,1,,,
Boucher Brian,Boucher,Brian,,,,,,
Boudreau Bruce,Boudreau,Bruce,,,,,,
Boulton E.,Boulton E.,,,,,,,
BoulwarePeter,Boulware,Peter,,,,,,
Bourke Josh,Bourke,Josh,,,,,,
Bourque Chris,Bourque,Chris,,,,,,
Bourque Rene,Bourque,Rene,,,,,,
BourqueRay,Bourque,Ray,,,1,,1,
Bouwmeester,Bouwmeester,,,,,,,
Bowa,Bowa,Larry,,,,,,
Bowers S.,Bowers S.,,,,,,,
Bowie S.,Bowie S.,,,,,,,
Bowman John,Bowman,John,,,,,,
Boyce Ian,Boyce,Ian,,,,,,
Boyd Bob,Boyd,Bobby,,,,,,
Boyd Cory,Boyd Cory,,,,,,,
Boyer K.,Boyer K.,,,,,,,
Boyle Dan,Boyle,Dante,,,,,,
Boynton,Boynton,,,,,,,
Bradford Sam,Bradford,Sam,,,,1,,Oklahoma
Bradley J.,Bradley J.,,,,,,,
Bradley Luther,Bradley,Luther,,,,,,
Bradley Matt,Bradley,Matt,,,,,,
BradleyBill,Bradley,Bill,,,1,,1,Princeton
BradshawTerry,Bradshaw,Terry,,,1,,,LouisianaTech
BradyTom,Brady,Tom,,,,,1,Michigan
Braggins,Braggins,,,,,,,
BranchCliff,Branch,Cliff,,,,,1,Colorado
Brandt,Brandt,Gil,,,1,,,Wisconsin
Branning,Branning,,,,,,,
Branyan R.,Branyan R.,,,,,,,
Brathwaite,Brathwaite,,,,,,,
Bratkowski,Bratkowski,Zeke,,,,,,Georgia
Bray C.,Bray C.,,,,,,,
Brendl,Brendl,,,,,,,
Brennan Colt,Brennan,Colt,,,,,,
Brennan M.,Brennan M.,,,,,,,
Brennan R.,Brennan R.,,,,,,,
