Cleveland Lumberjacks (IHL),Cleveland,Lumberjacks,Hockey,
Colorado Avalanche,Colorado,Avalanche,Hockey,
Colorado Rockies,Colorado,Rockies,Baseball,MLB
Columbus Blue Jackets,Columbus,Blue Jackets,Hockey,NHL
Cornwall Aces (AHL),Cornwall,Aces,Hockey,
Dallas Chaparrals,Dallas,Chaparrals,,
Dallas Cowboys,Dallas,Cowboys,Football,NFL
Dallas Mavericks,Dallas,Mavericks,Basketball,NBA
Dallas Spurs,Dallas,Spurs,Basketball,
Dallas Stars,Dallas,Stars,Hockey,NHL
Dallas Texans,Dallas,Texans,Football,
Denver Broncos,Denver,Broncos,Football,NFL
Denver Gold,Denver,Gold,Football,USFL
Denver Grizzlies (IHL),Denver,Grizzlies,Hockey,
Denver Nuggets,Denver,Nuggets,Basketball,NBA
Detriot Pistons,Detriot,Pistons,Basketball,NBA
Detroit Lions,Detroit,Lions,Football,NFL
Detroit Red Wings,Detroit,Red Wings,Hockey,NHL
Detroit Tigers,Detroit,Tigers,Baseball,MLB
Detroit Vipers (IHL),Detroit,Vipers,Hockey,
Edmonton Eskimos,Edmonton,Eskimos,Football,CFL
Edmonton Oilers,Edmonton,Oilers,Hockey,NHL
Edmonton Trappers (PCL),Edmonton,Trappers,,
Elowna Rockets (OHL),Elowna,Rockets,Hockey,
Flint Spirit (IHL),Flint,Spirit,Hockey,
Florence Pride (ECHL),Florence,Pride,Hockey,
Florida Marlins,Florida,Marlins,Baseball,MLB
Florida Panthers,Florida,Panthers,Hockey,NHL
Florida State Seminoles,Florida State,Seminoles,Basketball,NCAAB
Florida State Seminoles,Florida State,Seminoles,Football,NCAAF
Fort Wayne Komets (IHL),Fort Wayne,Komets,Hockey,
Fort Wayne Komets (UHL),Fort Wayne,Komets,Hockey,
Fredericton Canadiens (AHL),Fredericton,Canadiens,Hockey,
Fresno Falcons (ECHL),Fresno,Falcons,Hockey,
Georgetown,Georgetown,Hoyas,Basketball,NCAAB
Georgia Bulldogs,Georgia,Bulldogs,Basketball,NCAAB
Georgia Bulldogs,Georgia,Bulldogs,Football,NCAAF
Georgia Tech Yellow Jackets,Georgia Tech,Yellow Jackets,Basketball,NCAAB
Georgia Tech Yellow Jackets,Georgia Tech,Yellow Jackets,Football,NCAAF
Golden State Warriors,Golden State,Warriors,Basketball,NBA
Grambling State Tigers,Grambling State,Tigers,Basketball,NCAAB
Grambling State Tigers,Grambling State,Tigers,Football,NCAAF
Green Bay Packers,Green Bay,Packers,Football,NFL
Greensboro Monarchs (ECHL),Greensboro,Monarchs,Hockey,
Gren Bay Packers,Green Bay,Packers,Football,NFL
Guelph Storm (CHL),Guelph,Storm,Hockey,
Guelph Storm (OHL),Guelph,Storm,Hockey,
Hamilton Canucks (AHL),Hamilton,Canucks,Hockey,
